APN,RSO Year,Address,City,Zip,RSO Units,Prior Council District,Council District,Land Use Code,Unit Range
2013031020,2023,7716 FAUST AVE,LOS ANGELES,91304,2,12,12,200,2 units
2013033022,2023,22735 KESWICK ST,LOS ANGELES,91304,2,12,12,200,2 units
2014002007,2021,8225 FALLBROOK AVE,LOS ANGELES,91304,1,12,12,200,1 unit
2014002008,2021,8219 FALLBROOK AVE,LOS ANGELES,91304,1,12,12,200,1 unit
2014002019,2021,8226 MCLAREN AVE,LOS ANGELES,91304,2,12,12,200,2 units
2014003004,2022,22934 ROSCOE BLVD,LOS ANGELES,91304,2,12,12,200,2 units
2014003007,2023,22914 ROSCOE BLVD,LOS ANGELES,91304,1,12,12,200,1 unit
2014009006,2021,7921 LENA AVE,LOS ANGELES,91304,2,12,12,200,2 units
2014010002,2024,7839 LENA AVE,LOS ANGELES,91304,3,12,12,300,3-4 units
2014011005,2021,22832 STRATHERN ST,LOS ANGELES,91304,1,12,12,200,1 unit
2014011017,2021,7852 LENA AVE,LOS ANGELES,91304,2,12,12,200,2 units
2014011020,2024,7908 LENA AVE,LOS ANGELES,91304,2,12,12,200,2 units
2014012002,2023,7947 FALLBROOK AVE,LOS ANGELES,91304,1,12,12,200,1 unit
2014012008,2024,7907 FALLBROOK AVE,LOS ANGELES,91304,1,12,12,200,1 unit
2014015004,2023,7700 MCLAREN AVE,LOS ANGELES,91304,2,12,12,200,2 units
2014015006,2023,7707 MCLAREN AVE,LOS ANGELES,91304,1,12,12,200,1 unit
2014015014,2024,7757 MCLAREN AVE,LOS ANGELES,91304,2,12,12,200,2 units
2014017007,2022,7625 MINSTREL AVE,LOS ANGELES,91304,2,12,12,200,2 units
2014017012,2021,22845 SATICOY ST,LOS ANGELES,91304,1,12,12,200,1 unit
2014018021,2020,22901 SATICOY ST,LOS ANGELES,91304,2,12,12,200,2 units
2014018022,2024,22861 SATICOY ST,LOS ANGELES,91304,1,12,12,200,1 unit
2014021003,2021,7749 MINSTREL AVE,LOS ANGELES,91304,2,12,12,200,2 units
2014021007,2024,22926 INGOMAR ST,LOS ANGELES,91304,1,12,12,200,1 unit
2014023007,2021,22954 BLYTHE ST,LOS ANGELES,91304,2,12,12,200,2 units
2014023015,2024,22955 BLYTHE ST,LOS ANGELES,91304,2,12,12,200,2 units
2014026003,2022,23055 STRATHERN ST,LOS ANGELES,91304,3,12,12,300,3-4 units
2014027013,2022,23008 BLYTHE ST,LOS ANGELES,91304,2,12,12,200,2 units
2014029015,2023,23057 INGOMAR ST,LOS ANGELES,91304,2,12,12,200,2 units
2014029028,2020,7923 DUCOR AVE,LOS ANGELES,91304,2,12,12,200,2 units
2014030017,2023,7817 SEDAN AVE,LOS ANGELES,91304,2,12,12,200,2 units
2014030026,2019,7917 SEDAN AVE,LOS ANGELES,91304,2,12,12,200,2 units
2014031009,2021,7840 WOODLAKE AVE,LOS ANGELES,91304,1,12,12,200,1 unit
2014031016,2021,7809 QUIMBY AVE,LOS ANGELES,91304,1,12,12,200,1 unit
2014031025,2019,7901 QUIMBY AVE,LOS ANGELES,91304,2,12,12,200,2 units
2014033006,2021,23027 SATICOY ST,LOS ANGELES,91304,1,12,12,200,1 unit
2014033007,2021,23021 SATICOY ST,LOS ANGELES,91304,2,12,12,200,2 units
2014033012,2021,23006 LULL ST,LOS ANGELES,91304,2,12,12,200,2 units
2014033018,2022,23046 LULL ST,LOS ANGELES,91304,2,12,12,200,2 units
2014034027,2023,7743 DUCOR AVE,LOS ANGELES,91304,2,12,12,200,2 units
2014034029,2024,7755 DUCOR AVE,LOS ANGELES,91304,2,12,12,200,2 units
